id,name,lat,lon,cuisine_type,halal_cert,price_range,has_prayer_room,address,phone,hours,notes,source,verified_date
HLR_BKK_119,ศูนย์อาหารมุสลิม เอเชียทีค (Halal Food Center Asiatique),13.702737,100.5034581,,Unverified,,,ศูนย์อาหารมุสลิม เอเชียทีค (Halal Food Center Asiatique),,,,Google My Maps Export,
HLR_BKK_120,(Halal) Foodcourt @ Asiatique The Riverfront,13.704929,100.502944,,Unverified,,,(Halal) Foodcourt @ Asiatique The Riverfront,,,,Google My Maps Export,
HLR_BKK_121,ศูนย์รวมอาหารฮาลาล59มินิพลาซ่า Mini Plaza รามคำแหง59,13.760296,100.622631,,Unverified,,,ศูนย์รวมอาหารฮาลาล59มินิพลาซ่า Mini Plaza รามคำแหง59,,,,Google My Maps Export,
HLR_BKK_122,ร้านไก่ทอดใบคานอิสลามหาดใหญ่,13.7603607,100.6234252,,Unverified,,,ร้านไก่ทอดใบคานอิสลามหาดใหญ่,,,,Google My Maps Export,
HLR_BKK_123,โกบู๊ รสซิ่ง (ฮาลาส),13.7605016,100.6224758,,Unverified,,,โกบู๊ รสซิ่ง (ฮาลาส),,,,Google My Maps Export,
HLR_BKK_124,Kawasan Makan Halal Bangkok,13.7604474,100.6228492,,Unverified,,,Kawasan Makan Halal Bangkok,,,,Google My Maps Export,
HLR_BKK_125,นิดา ฮาลาล,13.7415626,100.6011575,,Unverified,,,นิดา ฮาลาล,,,,Google My Maps Export,
HLR_BKK_126,AREA53,13.7618055,100.6178436,,Unverified,,,AREA53,,,,Google My Maps Export,
HLR_BKK_127,ไก่ทอดหาดใหญ่(บังหนวด),13.7605791,100.622877,,Unverified,,,ไก่ทอดหาดใหญ่(บังหนวด),,,,Google My Maps Export,
HLR_BKK_128,Makin makan halal by Amad ราม61,13.7606333,100.6227616,,Unverified,,,Makin makan halal by Amad ราม61,,,,Google My Maps Export,
HLR_BKK_129,ยำแซ่บปากแตก ฮาลาล,13.7603288,100.6227172,,Unverified,,,ยำแซ่บปากแตก ฮาลาล,,,,Google My Maps Export,
HLR_BKK_130,ร้านครัวโอเคเบตง สาขา2,13.760249,100.6204732,,Unverified,,,ร้านครัวโอเคเบตง สาขา2,,,,Google My Maps Export,
HLR_BKK_131,ร้านก๋วยเตี๋ยวเรือ ยูวารี (ฮาลาล),13.7603815,100.6203002,,Unverified,,,ร้านก๋วยเตี๋ยวเรือ ยูวารี (ฮาลาล),,,,Google My Maps Export,
HLR_BKK_132,อาหารตามสั่งกำมาเรีย,13.7611477,100.6196303,,Unverified,,,อาหารตามสั่งกำมาเรีย,,,,Google My Maps Export,
HLR_BKK_133,ร้านอาหารมุสลิม,13.7615679,100.6193031,,Unverified,,,ร้านอาหารมุสลิม,,,,Google My Maps Export,
HLR_BKK_134,ร้านทาโกะยากิ รามฯ53,13.7626236,100.6195579,,Unverified,,,ร้านทาโกะยากิ รามฯ53,,,,Google My Maps Export,
HLR_BKK_135,บังอี ฮาลาลฟู๊ด,13.7624695,100.6195597,,Unverified,,,บังอี ฮาลาลฟู๊ด,,,,Google My Maps Export,
HLR_BKK_136,ข้าวมันไก่ 53 ฮาลาล,13.7628296,100.6194866,,Unverified,,,ข้าวมันไก่ 53 ฮาลาล,,,,Google My Maps Export,
HLR_BKK_137,ร้านโรตีมะตะบะ ปูยุด (บังมะ),13.7643391,100.6192815,,Unverified,,,ร้านโรตีมะตะบะ ปูยุด (บังมะ),,,,Google My Maps Export,
HLR_BKK_138,โก๋ป่ะล่ะ น้ำเต้าหู้ปาท่องโก๋ฮาลาลฟู้ด,13.7643667,100.6192223,,Unverified,,,โก๋ป่ะล่ะ น้ำเต้าหู้ปาท่องโก๋ฮาลาลฟู้ด,,,,Google My Maps Export,
HLR_BKK_139,มาดะ,13.7605913,100.6198961,,Unverified,,,มาดะ,,,,Google My Maps Export,
HLR_BKK_140,ผัดไทหอยโซเฟียร์ฮาล้าล,13.7610448,100.6196129,,Unverified,,,ผัดไทหอยโซเฟียร์ฮาล้าล,,,,Google My Maps Export,
HLR_BKK_141,ข้าวแกงปัตตานี,13.7610889,100.6196303,,Unverified,,,ข้าวแกงปัตตานี,,,,Google My Maps Export,
HLR_BKK_142,FeeDa Halal,13.7630272,100.6194732,,Unverified,,,FeeDa Halal,,,,Google My Maps Export,
HLR_BKK_143,Halal Food Soi Sanprasert,13.7692011,100.6196571,,Unverified,,,Halal Food Soi Sanprasert,,,,Google My Maps Export,
HLR_BKK_144,เนื้อต้มบ้านม้า,13.7616956,100.6355961,,Unverified,,,เนื้อต้มบ้านม้า,,,,Google My Maps Export,
HLR_BKK_145,บังหม่าล่าฮาลาล,13.7711342,100.6339915,,Unverified,,,บังหม่าล่าฮาลาล,,,,Google My Maps Export,
HLR_BKK_146,Muslim Food,13.8004224,100.5517264,,Unverified,,,Muslim Food,,,,Google My Maps Export,
HLR_BKK_147,Saman Islam,13.7998412,100.5509499,,Unverified,,,Saman Islam,,,,Google My Maps Export,
HLR_BKK_148,Kah Jak Halal Foods,13.7993317,100.5506925,,Unverified,,,Kah Jak Halal Foods,,,,Google My Maps Export,
HLR_BKK_149,Zainun Halal Food,13.8022585,100.5513167,,Unverified,,,Zainun Halal Food,,,,Google My Maps Export,
